key	value
CHARACTER_SELECT_CHARACTER_DELETE_BUTTON_RETURN	Regresar
CHARACTER_CREATION_HEADER	Creacion de Personaje
CHARACTER_CREATION_HEADER_RACE_NAME	Seleccionar Raza
CHARACTER_CREATION_RACE_DESCRIPTOR_HEADER_INITIAL_SKILL	Habilidad Inicial
CHARACTER_CREATION_BUTTON_SET_TO_DEFAULTS	Restablecer
CHARACTER_CREATION_CHARACTER_NAME_PLACEHOLDER_TEXT	Escribe Su Nombre...
CHARACTER_CREATION_BUTTON_CREATE_CHARACTER	Crear Personaje
CHARACTER_CREATION_BUTTON_RETURN	Regresar
CHARACTER_CREATION_CUSTOMIZER_HEADER_COLOR	Color
CHARACTER_CREATION_CUSTOMIZER_COLOR_BODY_HEADER	Cuerpo
CHARACTER_CREATION_CUSTOMIZER_COLOR_BODY_TEXTURE	Textura
CHARACTER_CREATION_CUSTOMIZER_COLOR_HAIR_HEADER	Cabello
CHARACTER_CREATION_CUSTOMIZER_COLOR_HAIR_LOCK_COLOR	bloquear Color
CHARACTER_CREATION_CUSTOMIZER_HEADER_HEAD	Cabeza
CHARACTER_CREATION_CUSTOMIZER_HEAD_HEAD_WIDTH	Ancho de la Cabeza
CHARACTER_CREATION_CUSTOMIZER_HEAD_HEAD_MOD	Modificador
CHARACTER_CREATION_CUSTOMIZER_HEAD_VOICE_PITCH	Tono de Voz
CHARACTER_CREATION_CUSTOMIZER_HEAD_HAIR_STYLE	Cabello
CHARACTER_CREATION_CUSTOMIZER_HEAD_EARS	Orejas
CHARACTER_CREATION_CUSTOMIZER_HEAD_EYES	Ojos
CHARACTER_CREATION_CUSTOMIZER_HEAD_MOUTH	Boca
CHARACTER_CREATION_CUSTOMIZER_HEADER_BODY	Cuerpo
CHARACTER_CREATION_CUSTOMIZER_BODY_HEIGHT	Altura
CHARACTER_CREATION_CUSTOMIZER_BODY_WIDTH	Anchura
CHARACTER_CREATION_CUSTOMIZER_BODY_CHEST	Pecho
CHARACTER_CREATION_CUSTOMIZER_BODY_ARMS	Brazos
CHARACTER_CREATION_CUSTOMIZER_BODY_BELLY	Panza
CHARACTER_CREATION_CUSTOMIZER_BODY_BOTTOM	Tracero
CHARACTER_CREATION_CUSTOMIZER_BODY_TAIL	Cola
CHARACTER_CREATION_CUSTOMIZER_BODY_TOGGLE_LEFT_HANDED	Invertir Cuerpo
CHARACTER_CREATION_CUSTOMIZER_HEADER_TRAIT	Rasgos
CHARACTER_CREATION_CUSTOMIZER_TRAIT_EQUIPMENT	Equipamiento
CHARACTER_CREATION_CUSTOMIZER_TRAIT_WEAPON_LOADOUT	Arma
CHARACTER_CREATION_CUSTOMIZER_TRAIT_GEAR_DYE	Tinte
CHARACTER_CREATION_CUSTOMIZER_TRAIT_ATTRIBUTES	Atributos
CHARACTER_CREATION_CUSTOMIZER_TRAIT_RESET_ATTRIBUTE_POINTS	Reiniciar Puntos
SETTINGS_TAB_BUTTON_VIDEO	Graficos
SETTINGS_TAB_BUTTON_AUDIO	Audio
SETTINGS_TAB_BUTTON_INPUT	Controles
SETTINGS_TAB_BUTTON_NETWORK	Interfaz
SETTINGS_VIDEO_HEADER_GAME_EFFECT_SETTINGS	Ajustes de Contenido Sensible
SETTINGS_VIDEO_CELL_PROPORTIONS_TOGGLE	Limitar Proporciones de los Personajes
SETTINGS_VIDEO_CELL_JIGGLE_BONES_TOGGLE	Desactivar Fisicas Sugestivas
SETTINGS_VIDEO_CELL_CLEAR_UNDERCLOTHES_TOGGLE	Desactivar Ropa Interior
SETTINGS_VIDEO_HEADER_VIDEO_SETTINGS	Ajustes de video
SETTINGS_VIDEO_CELL_FULLSCREEN_TOGGLE	Pantalla Completa
SETTINGS_VIDEO_CELL_VERTICAL_SYNC	Sincronizacion Vertical / Limitar a 60 FPS
SETTINGS_VIDEO_CELL_ANISOTROPIC_FILTERING	Filtro Anisotropico
SETTINGS_VIDEO_CELL_SCREEN_RESOLUTION	Resolucion de pantalla
SETTINGS_VIDEO_CELL_ANTI_ALIASING	Suavizado de imagen
SETTINGS_VIDEO_CELL_ANTI_ALIASING_OPTION_1	Desactivado
SETTINGS_VIDEO_CELL_ANTI_ALIASING_OPTION_2	2x Multi Sampling
SETTINGS_VIDEO_CELL_ANTI_ALIASING_OPTION_3	4x Multi Sampling
SETTINGS_VIDEO_CELL_ANTI_ALIASING_OPTION_4	8x Multi Sampling
SETTINGS_VIDEO_CELL_TEXTURE_FILTERING	Filtrado de texturas
SETTINGS_VIDEO_CELL_TEXTURE_FILTERING_OPTION_1	Bilnear (Suave)
SETTINGS_VIDEO_CELL_TEXTURE_FILTERING_OPTION_2	Cercano (Pixeliado)
SETTINGS_VIDEO_CELL_TEXTURE_QUALITY	Calidad de Texturas
SETTINGS_VIDEO_CELL_TEXTURE_QUALITY_OPTION_1	Alto
SETTINGS_VIDEO_CELL_TEXTURE_QUALITY_OPTION_2	Medio
SETTINGS_VIDEO_CELL_TEXTURE_QUALITY_OPTION_3	Bajo
SETTINGS_VIDEO_CELL_TEXTURE_QUALITY_OPTION_4	Muy Bajo
SETTINGS_VIDEO_HEADER_CAMERA_SETTINGS	Ajustes de Camara
SETTINGS_VIDEO_CELL_FIELD_OF_VIEW	Campo de vision
SETTINGS_VIDEO_CELL_CAMERA_SMOOTHING	Suavizado de camara
SETTINGS_VIDEO_CELL_CAMERA_HORIZ	Posicion de camara X
SETTINGS_VIDEO_CELL_CAMERA_VERT	Posicion de camara Y
SETTINGS_VIDEO_CELL_CAMERA_RENDER_DISTANCE	Distancia de vision
SETTINGS_VIDEO_CELL_CAMERA_RENDER_DISTANCE_OPTION_1	Muy Cercana
SETTINGS_VIDEO_CELL_CAMERA_RENDER_DISTANCE_OPTION_2	Cercana
SETTINGS_VIDEO_CELL_CAMERA_RENDER_DISTANCE_OPTION_3	Lejana
SETTINGS_VIDEO_CELL_CAMERA_RENDER_DISTANCE_OPTION_4	Muy Lejana
SETTINGS_VIDEO_HEADER_POST_PROCESSING	Post Procesado
SETTINGS_VIDEO_CELL_CAMERA_BITCRUSH_SHADER	Activar Efecto de imagen Retro
SETTINGS_VIDEO_CELL_CAMERA_WATER_EFFECT	Activar Distorsion bajo el agua
SETTINGS_VIDEO_CELL_CAMERA_SHAKE	Activar Efecto de Temblor
SETTINGS_VIDEO_CELL_WEAPON_GLOW	Desactivar efecto de resplandor en las armas
SETTINGS_AUDIO_HEADER_AUDIO_SETTINGS	Ajustes de Sonido
SETTINGS_AUDIO_CELL_MASTER_VOLUME	Volumen General
SETTINGS_AUDIO_CELL_MUTE_APPLICATION	Silenciar Aplicacion
SETTINGS_AUDIO_CELL_MUTE_MUSIC	Silenciar Musica
SETTINGS_AUDIO_HEADER_AUDIO_CHANNEL_SETTINGS	Canales de audio
SETTINGS_AUDIO_CELL_GAME_VOLUME	Volumen del juego
SETTINGS_AUDIO_CELL_GUI_VOLUME	Volumen de la interfaz
SETTINGS_AUDIO_CELL_AMBIENCE_VOLUME	Volumen de Ambiente
SETTINGS_AUDIO_CELL_MUSIC_VOLUME	Volumen de la musica
SETTINGS_AUDIO_CELL_VOICE_VOLUME	Volumen de las voces
SETTINGS_INPUT_HEADER_INPUT_SETTINGS	Ajuste de controles
SETTINGS_INPUT_CELL_AXIS_TYPE	Tipo de control de movimiento
SETTINGS_INPUT_CELL_AXIS_TYPE_OPTION_1	Teclado WASD (8 Direcciones)
SETTINGS_INPUT_CELL_AXIS_TYPE_OPTION_2	Control de Xbox
SETTINGS_INPUT_CELL_AXIS_TYPE_OPTION_3	Control de Playstation 4
SETTINGS_INPUT_HEADER_CAMERA_CONTROL	Control de Camara
SETTINGS_INPUT_CELL_CAMERA_SENSITIVITY	Sensibilidad
SETTINGS_INPUT_CELL_INVERT_X_CAMERA_AXIS	Invertir Horizontalmente
SETTINGS_INPUT_CELL_INVERT_Y_CAMERA_AXIS	Invertir Verticalmente
SETTINGS_INPUT_CELL_KEYBINDING_RESET_CAMERA	Restablecer Camara
SETTINGS_INPUT_HEADER_MOVEMENT	Movimiento
SETTINGS_INPUT_CELL_KEYBINDING_UP	Arriba
SETTINGS_INPUT_CELL_KEYBINDING_DOWN	Abajo
SETTINGS_INPUT_CELL_KEYBINDING_LEFT	Izquierda
SETTINGS_INPUT_CELL_KEYBINDING_RIGHT	Derecha
SETTINGS_INPUT_CELL_KEYBINDING_JUMP	Saltar
SETTINGS_INPUT_CELL_KEYBINDING_DASH	Deslizarse
SETTINGS_INPUT_HEADER_STRAFING	Desplazarmiento
SETTINGS_INPUT_CELL_KEYBINDING_LOCK_DIRECTION	Desplazarse
SETTINGS_INPUT_CELL_KEYBINDING_STRAFE_MODE	Desplazarse / Apuntar
SETTINGS_INPUT_CELL_KEYBINDING_STRAFE_MODE_OPTION_1	Mantener Tecla de Desplazarmiento
SETTINGS_INPUT_CELL_KEYBINDING_STRAFE_MODE_OPTION_2	Alternar tecla de Desplazarmiento
SETTINGS_INPUT_CELL_KEYBINDING_STRAFE_WEAPON	Desplazarse mientras sostienes armas
SETTINGS_INPUT_CELL_KEYBINDING_STRAFE_CASTING	Desplazarse mientras activas habilidades ofensivas
SETTINGS_INPUT_HEADER_ACTION	Accion
SETTINGS_INPUT_CELL_KEYBINDING_ATTACK	Atacar
SETTINGS_INPUT_CELL_KEYBINDING_CHARGE_ATTACK	Cargar ataque
SETTINGS_INPUT_CELL_KEYBINDING_BLOCK	bloquear
SETTINGS_INPUT_CELL_KEYBINDING_TARGET	Fijar Objectivo
SETTINGS_INPUT_CELL_KEYBINDING_INTERACT	Interactuar
SETTINGS_INPUT_CELL_KEYBINDING_PVP_FLAG	Activar bandera PvP
SETTINGS_INPUT_CELL_KEYBINDING_SKILL_SLOT_01	Ranura de Habilidad 1
SETTINGS_INPUT_CELL_KEYBINDING_SKILL_SLOT_02	Ranura de Habilidad 2
SETTINGS_INPUT_CELL_KEYBINDING_SKILL_SLOT_03	Ranura de Habilidad 3
SETTINGS_INPUT_CELL_KEYBINDING_SKILL_SLOT_04	Ranura de Habilidad 4
SETTINGS_INPUT_CELL_KEYBINDING_SKILL_SLOT_05	Ranura de Habilidad 5
SETTINGS_INPUT_CELL_KEYBINDING_SKILL_SLOT_06	Ranura de Habilidad 6
SETTINGS_INPUT_CELL_KEYBINDING_RECALL	Retirarse
SETTINGS_INPUT_CELL_KEYBINDING_QUICKSWAP_WEAPON	Cambio rapido de arma
SETTINGS_INPUT_CELL_KEYBINDING_SHEATHE_WEAPON	Enfundar / Desenfundar Arma
SETTINGS_INPUT_CELL_KEYBINDING_SIT	Sentarse
SETTINGS_INPUT_HEADER_CONSUMABLE_SLOTS	Ranura rapida de consumibles
SETTINGS_INPUT_CELL_KEYBINDING_QUICK_SLOT_01	Ranura rapida 1
SETTINGS_INPUT_CELL_KEYBINDING_QUICK_SLOT_02	Ranura rapida 2
SETTINGS_INPUT_CELL_KEYBINDING_QUICK_SLOT_03	Ranura rapida 3
SETTINGS_INPUT_CELL_KEYBINDING_QUICK_SLOT_04	Ranura rapida 4
SETTINGS_INPUT_CELL_KEYBINDING_QUICK_SLOT_05	Ranura rapida 5
SETTINGS_INPUT_HEADER_INTERFACE	Interfaz
SETTINGS_INPUT_CELL_KEYBINDING_HOST_CONSOLE	Abrir Consola
SETTINGS_INPUT_CELL_KEYBINDING_LEXICON	Abrir Codice
SETTINGS_INPUT_CELL_KEYBINDING_TAB_MENU	Abrir Pestaña del menu
SETTINGS_INPUT_CELL_KEYBINDING_STATS_TAB	Pestaña de estadisticas
SETTINGS_INPUT_CELL_KEYBINDING_SKILLS_TAB	Pestaña de Habilidades
SETTINGS_INPUT_CELL_KEYBINDING_ITEM_TAB	Pestaña de inventario
SETTINGS_INPUT_CELL_KEYBINDING_QUEST_TAB	Pestaña de Misiones
SETTINGS_INPUT_CELL_KEYBINDING_WHO_TAB	Pestaña de ayuda
SETTINGS_INPUT_CELL_KEYBINDING_HIDE_UI	Ocultar Interfaz
SETTINGS_NETWORK_HEADER_UI_SETTINGS	Ajustes de interfaz
SETTINGS_NETWORK_CELL_LOCALYSSATION_LANGUAGE	Idioma
SETTINGS_NETWORK_CELL_DISPLAY_CREEP_NAMETAGS	Mostrar Nombres de los enemigos
SETTINGS_NETWORK_CELL_DISPLAY_GLOBAL_NICKNAME_TAGS	Mostrar Nombres Globales <color=cyan>(@XX)</color>
SETTINGS_NETWORK_CELL_DISPLAY_LOCAL_NAMETAG	Mostrar Nombre local del personaje
SETTINGS_NETWORK_CELL_DISPLAY_HOST_TAG	Mostrar etiqueta [HOST] en el personaje del Administrador
SETTINGS_NETWORK_CELL_HIDE_DUNGEON_MINIMAP	Ocultar minimapa de la mazmorra
SETTINGS_NETWORK_CELL_HIDE_FPS_COUNTER	Ocultar Contador de FPS
SETTINGS_NETWORK_CELL_HIDE_PING_COUNTER	Ocultar Contador de Ping
SETTINGS_NETWORK_CELL_HIDE_STAT_POINT_COUNTER	Ocultar Notificacion de Puntos de estadisticas
SETTINGS_NETWORK_CELL_HIDE_SKILL_POINT_COUNTER	Ocultar Notificacion de puntos de Habilidad
SETTINGS_NETWORK_HEADER_CLIENT_SETTINGS	Ajustes del Cliente
SETTINGS_NETWORK_CELL_ENABLE_PVP_ON_MAP_ENTER	Bandera para PvP si esta disponible
SETTINGS_BUTTON_RESET_TO_DEFAULTS	Restablecer por defecto
SETTINGS_BUTTON_RESET	Restablecer
SETTINGS_BUTTON_CANCEL	Cancelar
SETTINGS_BUTTON_APPLY	Aplicar
FORMAT_ITEM_RARITY	[{0}]
FORMAT_ITEM_TOOLTIP_VENDOR_VALUE_COUNTER	{0}
FORMAT_ITEM_TOOLTIP_VENDOR_VALUE_COUNTER_MULTIPLE	<color=grey>(x{0} each)</color> {1}
ITEM_TOOLTIP_GAMBLE_ITEM_NAME	Mystery Item
ITEM_TOOLTIP_GAMBLE_ITEM_RARITY	[Desconocido]
ITEM_TOOLTIP_GAMBLE_ITEM_DESCRIPTION	You can't really see what this is until you buy it.
ITEM_TOOLTIP_CONSUMABLE_DESCRIPTION_HEALTH_APPLY	Recupera {0} de Salud.
ITEM_TOOLTIP_CONSUMABLE_DESCRIPTION_MANA_APPLY	Recupera {0} de Mana.
ITEM_TOOLTIP_CONSUMABLE_DESCRIPTION_STAMINA_APPLY	Recupera {0} de Stamina.
ITEM_TOOLTIP_CONSUMABLE_DESCRIPTION_EXP_GAIN	Ganas {0} de Experiencia al usarse.
ITEM_TOOLTIP_TYPE_CONSUMABLE	Consumible
ITEM_TOOLTIP_TYPE_TRADE	Objecto de intercambio
EQUIP_TOOLTIP_GAMBLE_ITEM_NAME	Mystery Gear
EQUIP_TOOLTIP_GAMBLE_ITEM_RARITY	[Desconocido]
EQUIP_TOOLTIP_GAMBLE_ITEM_TYPE	???
EQUIP_TOOLTIP_GAMBLE_ITEM_DESCRIPTION	No puedes saber realmente que es hasta que lo compres.
FORMAT_EQUIP_LEVEL_REQUIREMENT	Nv-{0}
FORMAT_EQUIP_CLASS_REQUIREMENT	Clase: {0}
FORMAT_EQUIP_WEAPON_CONDITION	\n<color=lime>- <color=yellow>{0}%</color> chance to apply {1}.</color>
EQUIP_TOOLTIP_TYPE_HELM	Casco (Armadura)
EQUIP_TOOLTIP_TYPE_CHESTPIECE	Peto (Armadura)
EQUIP_TOOLTIP_TYPE_LEGGINGS	Pantalones (Armadira)
EQUIP_TOOLTIP_TYPE_CAPE	Capa (Armadura)
EQUIP_TOOLTIP_TYPE_RING	Anillo (Armadura)
FORMAT_EQUIP_TOOLTIP_TYPE_WEAPON	{0} (Arma)
EQUIP_TOOLTIP_TYPE_SHIELD	Escudo
FORMAT_EQUIP_STATS_DAMAGE_SCALED	<color=#c5e384>({0} - {1})</color> Daño
FORMAT_EQUIP_STATS_DAMAGE_SCALED_POWERFUL	<color=#efcc00>({0} - {1})</color> Daño
FORMAT_EQUIP_STATS_DAMAGE_COMPARE_BASE	\n<color=grey>(Daño base: {0} - {1})</color>
FORMAT_EQUIP_STATS_DAMAGE_UNSCALED	({0} - {1}) Daño
FORMAT_EQUIP_STATS_BLOCK_THRESHOLD	Umbral de proteccion: {0} de Daño
TAB_MENU_CELL_STATS_HEADER	Estadisticas
TAB_MENU_CELL_STATS_ATTRIBUTE_POINT_COUNTER	Puntos
TAB_MENU_CELL_STATS_BUTTON_APPLY_ATTRIBUTE_POINTS	Aplicar
TAB_MENU_CELL_STATS_INFO_CELL_NICK_NAME	Nombre
TAB_MENU_CELL_STATS_INFO_CELL_RACE_NAME	Raza
TAB_MENU_CELL_STATS_INFO_CELL_CLASS_NAME	Clase
TAB_MENU_CELL_STATS_INFO_CELL_LEVEL_COUNTER	Nivel
TAB_MENU_CELL_STATS_INFO_CELL_EXPERIENCE	Experiencia
TAB_MENU_CELL_STATS_INFO_CELL_MAX_HEALTH	Salud
TAB_MENU_CELL_STATS_INFO_CELL_MAX_MANA	Mana
TAB_MENU_CELL_STATS_INFO_CELL_MAX_STAMINA	Stamina
TAB_MENU_CELL_STATS_INFO_CELL_ATTACK	Attack Power
TAB_MENU_CELL_STATS_INFO_CELL_RANGED_POWER	Dex Power
TAB_MENU_CELL_STATS_INFO_CELL_PHYS_CRITICAL	Phys. Crit %
TAB_MENU_CELL_STATS_INFO_CELL_MAGIC_POW	Mgk. Power
TAB_MENU_CELL_STATS_INFO_CELL_MAGIC_CRIT	Mgk. Crit %
TAB_MENU_CELL_STATS_INFO_CELL_DEFENSE	Defensa
TAB_MENU_CELL_STATS_INFO_CELL_MAGIC_DEF	Mgk. Defensa
TAB_MENU_CELL_STATS_INFO_CELL_EVASION	Evasion %
TAB_MENU_CELL_STATS_INFO_CELL_MOVE_SPD	Mov Vel %
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_BEGIN	<b>Estadisticas base:</b> <i>
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_END_CRIT	%</i> (Critical %)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_END_EVASION	%</i> (Evasion %)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_ATTACK_POW	{0}</i> (Attack Power)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_MAX_MP	{0}</i> (Max Mana)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_MAX_HP	{0}</i> (Max. Salud)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_RANGE_POW	{0}</i> (Dex Power)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_END_MAGIC_CRIT	%</i> (Magic Critical %)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_MAGIC_DEF	{0}</i> (Defensa Magica)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_DEFENSE	{0}</i> (Defensa)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_MAGIC_POW	{0}</i> (Poder Magico)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_MAX_STAM	{0}</i> (Max Stamina)
TAB_MENU_CELL_SKILLS_HEADER	Skills
TAB_MENU_CELL_SKILLS_SKILL_POINT_COUNTER	Puntos de Habilidad
TAB_MENU_CELL_SKILLS_CLASS_TAB_TOOLTIP_NOVICE	Habilidades Generales
TAB_MENU_CELL_SKILLS_CLASS_TAB_TOOLTIP	{0} Habilidades
TAB_MENU_CELL_SKILLS_CLASS_HEADER_NOVICE	Skillbook Generales
TAB_MENU_CELL_SKILLS_CLASS_HEADER	{0} Skillbook
SKILL_RANK_SOULBOUND	Soulbound Skill
FORMAT_SKILL_RANK	[Rank {0} / {1}]
FORMAT_SKILL_TOOLTIP_DAMAGE_TYPE	{0} Habilidad
FORMAT_SKILL_TOOLTIP_ITEM_COST	x{0} {1}
FORMAT_SKILL_TOOLTIP_MANA_COST	{0} Mana
FORMAT_SKILL_TOOLTIP_HEALTH_COST	{0} Salud
FORMAT_SKILL_TOOLTIP_STAMINA_COST	{0} Stamina
SKILL_TOOLTIP_CAST_TIME_INSTANT	Instant Cast
FORMAT_SKILL_TOOLTIP_CAST_TIME	{0} sec Cast
FORMAT_SKILL_TOOLTIP_COOLDOWN	{0} sec Cooldown
SKILL_TOOLTIP_PASSIVE	Habilidad Passiva
SKILL_TOOLTIP_RANK_DESCRIPTOR_NEXT_RANK	\n<color=white><i>[Next Rank]</i></color>
FORMAT_SKILL_TOOLTIP_RANK_DESCRIPTOR_CURRENT_RANK	\n<color=white><i>[Rank {0}]</i></color>
FORMAT_SKILL_TOOLTIP_RANK_DESCRIPTOR_REQUIRED_LEVEL	<color=red>\n(Requieres Nv. {0})</color>
FORMAT_SKILL_TOOLTIP_RANK_DESCRIPTOR_COOLDOWN	<color=yellow>{0} sec cooldown.</color>
FORMAT_SKILL_TOOLTIP_RANK_DESCRIPTOR_CAST_TIME	<color=yellow>{0} sec cast time.</color>
SKILL_TOOLTIP_RANK_DESCRIPTOR_CAST_TIME_INSTANT	<color=yellow>instant cast time.</color>
SKILL_TOOLTIP_RANK_DESCRIPTOR_CONDITION_CANCEL_ON_HIT	 <color=yellow>Se cancela si te golpean.</color>
SKILL_TOOLTIP_RANK_DESCRIPTOR_CONDITION_IS_PERMANENT	 <color=yellow>Permanente.</color>
FORMAT_SKILL_TOOLTIP_RANK_DESCRIPTOR_CONDITION_DURATION	 <color=yellow>Lasts for {0} seconds.</color>
SKILL_TOOLTIP_RANK_DESCRIPTOR_CONDITION_IS_STACKABLE	 <color=yellow>Apilanble.</color>
SKILL_TOOLTIP_RANK_DESCRIPTOR_CONDITION_IS_REFRESHABLE	 <color=yellow>Se Actualiza si es reaplicado.</color>
FORMAT_QUEST_REQUIRED_LEVEL	(Nv-{0})
QUEST_TYPE_CLASS	(Tome de clase)
QUEST_TYPE_MASTERY	(Pergamino de maestria)
QUEST_MENU_SUMMARY_NO_QUESTS	No hay misiones disponibles
QUEST_MENU_HEADER_UNSELECTED	Selecciona Una mision
FORMAT_QUEST_MENU_CELL_QUEST_LOG_COUNTER	Quest Log: ({0} / {1})
FORMAT_QUEST_MENU_CELL_FINISHED_QUEST_COUNTER	Misiones completadas: {0}
FORMAT_QUEST_MENU_CELL_REWARD_EXP	{0} exp
FORMAT_QUEST_MENU_CELL_REWARD_CURRENCY	{0} Coronas
QUEST_MENU_CELL_SLOT_EMPTY	Espacio Vacio
QUEST_SELECTION_MANAGER_QUEST_ACCEPT_BUTTON_ACCEPT	Aceptar Mision
QUEST_SELECTION_MANAGER_QUEST_ACCEPT_BUTTON_LOCKED	Mision bloqueada
QUEST_SELECTION_MANAGER_QUEST_ACCEPT_BUTTON_INCOMPLETE	Mision incompleta
QUEST_SELECTION_MANAGER_QUEST_ACCEPT_BUTTON_TURN_IN	Mision Completa
QUEST_SELECTION_MANAGER_QUEST_ACCEPT_BUTTON_UNSELECTED	Selecciona Una mision
FORMAT_QUEST_PROGRESS	{0}: ({1} / {2})
FORMAT_QUEST_PROGRESS_CREEPS_KILLED	{0} slain
ITEM_LEATHER_CAP_NAME	Leather Cap
ITEM_LEATHER_CAP_DESCRIPTION	
ITEM_NEWFOLD_HALO_NAME	Newfold Halo
ITEM_NEWFOLD_HALO_DESCRIPTION	A sigil to indicate a new soul's introduction to the world.
ITEM_FOCUS_CIRCLET_NAME	Focus Circlet
ITEM_FOCUS_CIRCLET_DESCRIPTION	Keep still.
ITEM_JOURNEYMAN_SPECTACLES_NAME	Journeyman Spectacles
ITEM_JOURNEYMAN_SPECTACLES_DESCRIPTION	Used to read harder-- now with color!
ITEM_MAGISTRATE_CIRCLET_NAME	Magistrate Circlet
ITEM_MAGISTRATE_CIRCLET_DESCRIPTION	Clears the mind, putting things at ease.
ITEM_RAGE_CIRCLET_NAME	Rage Circlet
ITEM_RAGE_CIRCLET_DESCRIPTION	Fervor of angst and envy.
ITEM_GEISTLORD_CROWN_NAME	Geistlord Crown
ITEM_GEISTLORD_CROWN_DESCRIPTION	Can you handle the madness that ensues?
ITEM_NETHERCRYPT_HALO_NAME	Nethercrypt Halo
ITEM_NETHERCRYPT_HALO_DESCRIPTION	Banished crown from the nether realms.
ITEM_MITHRIL_HALO_NAME	Mithril Halo
ITEM_MITHRIL_HALO_DESCRIPTION	
ITEM_GLYPHGRIFT_HALO_NAME	Glyphgrift Halo
ITEM_GLYPHGRIFT_HALO_DESCRIPTION	
ITEM_JESTERCAST_MEMORY_NAME	Jestercast Memory
ITEM_JESTERCAST_MEMORY_DESCRIPTION	The true fool is the enemy of the caster...
ITEM_KNIGHTGUARD_HALO_NAME	Knightguard Halo
ITEM_KNIGHTGUARD_HALO_DESCRIPTION	Visions of might and prowess.
ITEM_GEISTLORD_EYE_NAME	Geistlord Eye
ITEM_GEISTLORD_EYE_DESCRIPTION	Madness beyond comprehension.
ITEM_INITIATE_SPECTACLES_NAME	Initiate Spectacles
ITEM_INITIATE_SPECTACLES_DESCRIPTION	Used to read.
ITEM_CRYPTSINGE_HALO_NAME	Cryptsinge Halo
ITEM_CRYPTSINGE_HALO_DESCRIPTION	Rumination of the dead.
ITEM_DIVA_CROWN_NAME	Diva Crown
ITEM_DIVA_CROWN_DESCRIPTION	A crown worn by a Slime Diva. Contains unusual power.
ITEM_IRON_HALO_NAME	Iron Halo
ITEM_IRON_HALO_DESCRIPTION	
ITEM_DEMICRYPT_HALO_NAME	Demicrypt Halo
ITEM_DEMICRYPT_HALO_DESCRIPTION	Fallen from corrupted angels.
